,Epoch,Loss
0,0,2.196263074874878
1,1,2.090139865875244
2,2,2.0746004581451416
3,3,2.01090931892395
4,4,1.9491887092590332
5,5,1.9284862279891968
6,6,1.857941746711731
7,7,1.844437837600708
8,8,1.8622336387634277
9,9,1.884399175643921
10,10,1.8491668701171875
11,11,1.8046833276748657
12,12,1.7913026809692383
13,13,1.8349823951721191
14,14,1.7660959959030151
15,15,1.8006868362426758
16,16,1.8081161975860596
17,17,1.7762131690979004
18,18,1.7896010875701904
19,19,1.7685496807098389
20,20,1.766782283782959
21,21,1.7557144165039062
22,22,1.7379566431045532
23,23,1.76039457321167
24,24,1.749765157699585
25,25,1.729182481765747
26,26,1.671776533126831
27,27,1.7489547729492188
28,28,1.770181655883789
29,29,1.7355703115463257
30,30,1.7027838230133057
31,31,1.7096672058105469
32,32,1.8367486000061035
33,33,1.7175071239471436
34,34,1.7148255109786987
35,35,1.6734580993652344
36,36,1.749678134918213
37,37,1.6896381378173828
38,38,1.7806642055511475
39,39,1.742849349975586
40,40,1.7179145812988281
41,41,1.7407978773117065
42,42,1.7288719415664673
43,43,1.6749897003173828
44,44,1.6435949802398682
45,45,1.7031993865966797
46,46,1.7130422592163086
47,47,1.645064115524292
48,48,1.652384877204895
49,49,1.6148040294647217
